label,Q (g s),Q (g hr),min (m),max (m),Z (m),dZ (m),particles (p hr)
Vent,1,3600,1725,10000,5862.5,8275,10112
Chunk 1,1,3600,10000,10100,10050.0,100,122
Chunk 2,1,3600,10100,10200,10150.0,100,122
Chunk 3,1,3600,10200,10300,10250.0,100,122
Chunk 4,1,3600,10300,10400,10350.0,100,122
Chunk 5,1,3600,10400,10500,10450.0,100,122
Chunk 6,1,3600,10500,10600,10550.0,100,122
Chunk 7,1,3600,10600,10700,10650.0,100,122
Chunk 8,1,3600,10700,10800,10750.0,100,122
Chunk 9,1,3600,10800,10900,10850.0,100,122
Chunk 10,1,3600,10900,11000,10950.0,100,122
Chunk 11,1,3600,11000,11100,11050.0,100,122
Chunk 12,1,3600,11100,11200,11150.0,100,122
Chunk 13,1,3600,11200,11300,11250.0,100,122
Chunk 14,1,3600,11300,11400,11350.0,100,122
Chunk 15,1,3600,11400,11500,11450.0,100,122
Chunk 16,1,3600,11500,11600,11550.0,100,122
Chunk 17,1,3600,11600,11700,11650.0,100,122
Chunk 18,1,3600,11700,11800,11750.0,100,122
Chunk 19,1,3600,11800,11900,11850.0,100,122
Chunk 20,1,3600,11900,12000,11950.0,100,122
Chunk 21,1,3600,12000,12100,12050.0,100,122
Chunk 22,1,3600,12100,12200,12150.0,100,122
Chunk 23,1,3600,12200,12300,12250.0,100,122
Chunk 24,1,3600,12300,12400,12350.0,100,122
Chunk 25,1,3600,12400,12500,12450.0,100,122
Chunk 26,1,3600,12500,12600,12550.0,100,122
Chunk 27,1,3600,12600,12700,12650.0,100,122
Chunk 28,1,3600,12700,12800,12750.0,100,122
Chunk 29,1,3600,12800,12900,12850.0,100,122
Chunk 30,1,3600,12900,13000,12950.0,100,122
Chunk 31,1,3600,13000,13100,13050.0,100,122
Chunk 32,1,3600,13100,13200,13150.0,100,122
Chunk 33,1,3600,13200,13300,13250.0,100,122
Chunk 34,1,3600,13300,13400,13350.0,100,122
Chunk 35,1,3600,13400,13500,13450.0,100,122
Chunk 36,1,3600,13500,13600,13550.0,100,122
Chunk 37,1,3600,13600,13700,13650.0,100,122
Chunk 38,1,3600,13700,13800,13750.0,100,122
Chunk 39,1,3600,13800,13900,13850.0,100,122
Chunk 40,1,3600,13900,14000,13950.0,100,122
